,#lat,long,speed,altitude,time
23.49479143,87.31691786,0.0,29.0,09/23/2019 18:05:25,
23.49434018,87.31722007,0.7599999904632568,2.0,09/23/2019 18:05:26,Busy Road_1+
23.49440015,87.3171672,0.0,9.0,09/23/2019 18:05:29,Busy Road_1+
23.49437338,87.31714704,0.0,12.0,09/23/2019 18:05:29,Busy Road_1+
23.49436837,87.31712821,0.0,13.0,09/23/2019 18:05:30,Busy Road_1+
23.49436583,87.31712723,0.0,14.0,09/23/2019 18:05:31,Busy Road_1+
23.49436789,87.31712654,0.0,13.0,09/23/2019 18:05:32,Busy Road_1+
23.49435882,87.31712926,0.0,14.0,09/23/2019 18:05:33,Busy Road_1+
23.494362600000002,87.31713197,0.0,13.0,09/23/2019 18:05:34,Busy Road_1+
23.49436313,87.31713958,0.25999999046325684,14.0,09/23/2019 18:05:35,Busy Road_1+
23.49436245,87.31712577,0.0,11.0,09/23/2019 18:05:36,Busy Road_1+
23.49436692,87.31712909,0.0,9.0,09/23/2019 18:05:37,Busy Road_1+
23.49436892,87.31713439,0.0,9.0,09/23/2019 18:05:38,Busy Road_1+
23.49437061,87.31712562,0.0,9.0,09/23/2019 18:05:39,Busy Road_1+
23.49436411,87.31712320000001,0.0,9.0,09/23/2019 18:05:40,Busy Road_1+
23.49436077,87.31712381,0.0,11.0,09/23/2019 18:05:41,Busy Road_1+
23.49436628,87.31712321,0.0,10.0,09/23/2019 18:05:42,Busy Road_1+
23.49436854,87.31712233,0.0,10.0,09/23/2019 18:05:43,Busy Road_1+
23.49435973,87.31712042,0.2700000107288361,11.0,09/23/2019 18:05:44,Busy Road_1+
23.49435976,87.31713832,0.3100000023841858,10.0,09/23/2019 18:05:45,Busy Road_1+
23.49435823,87.31713977,0.3799999952316284,8.0,09/23/2019 18:05:46,Busy Road_1+
23.49435321,87.31714009,0.0,9.0,09/23/2019 18:05:47,Busy Road_1+
23.49435385,87.31714401,0.0,9.0,09/23/2019 18:05:48,Busy Road_1+
23.49435548,87.31714459,0.0,9.0,09/23/2019 18:05:49,Busy Road_1+
23.494348499999997,87.31715496,0.5299999713897705,10.0,09/23/2019 18:05:50,Busy Road_1+
23.49435131,87.31715785,0.0,10.0,09/23/2019 18:05:51,Busy Road_1+
23.49434899,87.31716725,0.5099999904632568,10.0,09/23/2019 18:05:52,Busy Road_1+
23.49434367,87.31716601,0.6399999856948853,11.0,09/23/2019 18:05:53,Busy Road_1+
23.494334600000002,87.31717427,0.6700000166893005,11.0,09/23/2019 18:05:54,Busy Road_1+
23.49432648,87.31717312,0.7400000095367432,11.0,09/23/2019 18:05:55,Busy Road_1+
23.49431963,87.31717554,0.5600000023841858,11.0,09/23/2019 18:05:56,Busy Road_1+
23.4943155,87.31717777,0.7300000190734863,11.0,09/23/2019 18:05:57,Busy Road_1+
23.49430891,87.31717963,0.3100000023841858,14.0,09/23/2019 18:05:58,Busy Road_1+
23.49430476,87.31718152,0.2899999916553497,15.0,09/23/2019 18:05:59,Busy Road_1+
23.49430164,87.31718428,0.1899999976158142,16.0,09/23/2019 18:06:00,Busy Road_1+
23.49429968,87.31718633,0.0,16.0,09/23/2019 18:06:01,Busy Road_1+
23.49429537,87.31719138,0.0,17.0,09/23/2019 18:06:02,Busy Road_1+
23.49429328,87.31719496,0.0,17.0,09/23/2019 18:06:03,Busy Road_1+
23.49429191,87.31719736,0.0,17.0,09/23/2019 18:06:04,Busy Road_1+
23.49429067,87.31719864,0.0,18.0,09/23/2019 18:06:05,Busy Road_1+
23.49428847,87.31719813,0.0,18.0,09/23/2019 18:06:06,Busy Road_1+
23.49428588,87.31719862,0.0,19.0,09/23/2019 18:06:07,Busy Road_1+
23.49428287,87.31719868,0.0,19.0,09/23/2019 18:06:08,Busy Road_1+
23.49428066,87.31719898,0.0,19.0,09/23/2019 18:06:09,Busy Road_1+
23.49427867,87.31719989,0.0,19.0,09/23/2019 18:06:10,Busy Road_1+
23.49427723,87.31720076,0.0,19.0,09/23/2019 18:06:11,Busy Road_1+
23.49427698,87.31720116,0.0,19.0,09/23/2019 18:06:12,Busy Road_1+
23.49427722,87.3172012,0.0,19.0,09/23/2019 18:06:13,Busy Road_1+
23.49427726,87.31720084,0.0,19.0,09/23/2019 18:06:14,Busy Road_1+
23.49427699,87.31720041,0.0,19.0,09/23/2019 18:06:15,Busy Road_1+
23.49427623,87.31719987,0.0,19.0,09/23/2019 18:06:16,Busy Road_1+
23.49427769,87.31719862,0.33000001311302185,19.0,09/23/2019 18:06:17,Busy Road_1+
23.49428387,87.31719811,0.4300000071525574,20.0,09/23/2019 18:06:18,Busy Road_1+
23.49429441,87.31720109,0.7900000214576721,21.0,09/23/2019 18:06:19,Busy Road_1+
23.49431268,87.31720398,1.3899999856948853,20.0,09/23/2019 18:06:20,Busy Road_1+
23.49432728,87.31720982,0.8500000238418579,20.0,09/23/2019 18:06:21,Busy Road_1+
23.49433286,87.31721159,0.20000000298023224,19.0,09/23/2019 18:06:22,Busy Road_1+
23.49433642,87.31721381,0.0,20.0,09/23/2019 18:06:23,Busy Road_1+
23.49433718,87.31721429,0.0,21.0,09/23/2019 18:06:24,Busy Road_1+
23.49433453,87.31721488,0.18000000715255735,22.0,09/23/2019 18:06:25,Busy Road_1+
23.49432809,87.31721132,0.0,22.0,09/23/2019 18:06:26,Busy Road_1+
23.49432361,87.31720986,0.0,21.0,09/23/2019 18:06:27,Busy Road_1+
23.49432222,87.31720832,0.0,21.0,09/23/2019 18:06:28,Busy Road_1+
23.49314617,87.31633687,1.3300000429153442,16.0,09/23/2019 18:09:36,Busy Road_1+
23.49316548,87.31636850000001,0.6299999952316284,6.0,09/23/2019 18:09:37,Busy Road_1+
23.49318521,87.31638289,0.5099999904632568,12.0,09/23/2019 18:09:38,Busy Road_1+
23.49320226,87.31639219,0.0,11.0,09/23/2019 18:09:39,Busy Road_1+
23.49320949,87.31640471,0.0,11.0,09/23/2019 18:09:40,Busy Road_1+
23.49321087,87.31640809,0.0,16.0,09/23/2019 18:09:41,Busy Road_1+
23.49321456,87.3164115,0.0,15.0,09/23/2019 18:09:42,Busy Road_1+
23.49321074,87.31639801,1.690000057220459,14.0,09/23/2019 18:09:43,Busy Road_1+
23.49320606,87.31638193,1.1299999952316284,15.0,09/23/2019 18:09:44,Busy Road_1+
23.49320566,87.31636907,0.9399999976158142,16.0,09/23/2019 18:09:45,Busy Road_1+
23.49320661,87.31635635,1.0499999523162842,17.0,09/23/2019 18:09:46,Busy Road_1+
23.49320588,87.31634655,0.0,16.0,09/23/2019 18:09:47,Bus Stop_1+Busy Road_1+
23.4932044,87.31634334,0.0,16.0,09/23/2019 18:09:48,Bus Stop_1+Busy Road_1+
23.49320665,87.31634334,0.0,16.0,09/23/2019 18:09:49,Bus Stop_1+Busy Road_1+
23.49320794,87.31634351,0.0,15.0,09/23/2019 18:09:50,Bus Stop_1+Busy Road_1+
23.49320934,87.31634499,0.0,15.0,09/23/2019 18:09:51,Bus Stop_1+Busy Road_1+
23.49320954,87.31634238,0.0,15.0,09/23/2019 18:09:52,Bus Stop_1+Busy Road_1+
23.49321212,87.31634256,0.0,14.0,09/23/2019 18:09:53,Bus Stop_1+Busy Road_1+
23.49321289,87.31634228,0.0,14.0,09/23/2019 18:09:54,Bus Stop_1+Busy Road_1+
23.49321468,87.31634321,0.0,14.0,09/23/2019 18:09:55,Bus Stop_1+Busy Road_1+
23.49321448,87.31634244,0.0,15.0,09/23/2019 18:09:56,Bus Stop_1+Busy Road_1+
23.493215300000003,87.31634143,0.0,14.0,09/23/2019 18:09:57,Bus Stop_1+Busy Road_1+
23.49321572,87.31634140000001,0.0,14.0,09/23/2019 18:09:58,Bus Stop_1+Busy Road_1+
23.49321571,87.31634148,0.0,14.0,09/23/2019 18:09:59,Bus Stop_1+Busy Road_1+
23.49321524,87.31634213,0.0,15.0,09/23/2019 18:10:00,Bus Stop_1+Busy Road_1+
23.49321507,87.31634215,0.0,15.0,09/23/2019 18:10:01,Bus Stop_1+Busy Road_1+
23.49321528,87.31634243,0.0,15.0,09/23/2019 18:10:02,Bus Stop_1+Busy Road_1+
23.49321523,87.31634267,0.0,15.0,09/23/2019 18:10:03,Bus Stop_1+Busy Road_1+
23.49321522,87.31634302,0.0,15.0,09/23/2019 18:10:04,Bus Stop_1+Busy Road_1+
23.49321551,87.31634345,0.0,15.0,09/23/2019 18:10:05,Bus Stop_1+Busy Road_1+
23.49321573,87.31634351,0.0,15.0,09/23/2019 18:10:06,Bus Stop_1+Busy Road_1+
23.4932159,87.3163436,0.0,15.0,09/23/2019 18:10:07,Bus Stop_1+Busy Road_1+
23.49321612,87.31634372,0.0,14.0,09/23/2019 18:10:08,Bus Stop_1+Busy Road_1+
