,0,1,2,3
0,64:d1:54:2d:d3:35,Haldiya Steels,-80,09/23/2019 18:05:22
1,90:f0:52:76:03:6f,meizu C9,-83,09/23/2019 18:05:22
2,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-80,09/23/2019 18:05:22
3,58:d5:6e:6d:98:10,N Pal lottery,-61,09/23/2019 18:05:22
4,10:62:eb:28:db:f9,SBSTC BUS STAND,-81,09/23/2019 18:05:22
5,bc:2f:3d:cf:32:4b,Juneka,-82,09/23/2019 18:05:22
6,70:4f:57:6e:b7:3f,TP-Link_B73D_5G,-94,09/23/2019 18:05:22
7,70:4f:57:6e:b7:3d,TP-Link_B73D,-76,09/23/2019 18:05:22
8,64:db:43:33:57:a4,Lenovo VIBE K5,-90,09/23/2019 18:05:22
9,a0:47:d7:22:0f:c0,SAHA INFOTECH,-91,09/23/2019 18:05:22
10,50:8f:4c:99:3d:4d,ashis,-91,09/23/2019 18:05:22
11,64:d1:54:2d:d3:35,Haldiya Steels,-82,09/23/2019 18:05:29
12,90:f0:52:76:03:6f,meizu C9,-83,09/23/2019 18:05:29
13,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-86,09/23/2019 18:05:29
14,58:d5:6e:6d:98:10,N Pal lottery,-73,09/23/2019 18:05:29
15,10:62:eb:28:db:f9,SBSTC BUS STAND,-78,09/23/2019 18:05:29
16,bc:2f:3d:cf:32:4b,Juneka,-82,09/23/2019 18:05:29
17,70:4f:57:6e:b7:3f,TP-Link_B73D_5G,-94,09/23/2019 18:05:29
18,70:4f:57:6e:b7:3d,TP-Link_B73D,-76,09/23/2019 18:05:29
19,64:db:43:33:57:a4,Lenovo VIBE K5,-78,09/23/2019 18:05:29
20,a0:47:d7:22:0f:c0,SAHA INFOTECH,-91,09/23/2019 18:05:29
21,50:8f:4c:99:3d:4d,ashis,-91,09/23/2019 18:05:29
22,64:d1:54:2d:d3:35,Haldiya Steels,-82,09/23/2019 18:05:30
23,90:f0:52:76:03:6f,meizu C9,-83,09/23/2019 18:05:30
24,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-86,09/23/2019 18:05:30
25,58:d5:6e:6d:98:10,N Pal lottery,-68,09/23/2019 18:05:30
26,10:62:eb:28:db:f9,SBSTC BUS STAND,-87,09/23/2019 18:05:30
27,bc:2f:3d:cf:32:4b,Juneka,-82,09/23/2019 18:05:30
28,70:4f:57:6e:b7:3f,TP-Link_B73D_5G,-94,09/23/2019 18:05:30
29,70:4f:57:6e:b7:3d,TP-Link_B73D,-76,09/23/2019 18:05:30
30,64:db:43:33:57:a4,Lenovo VIBE K5,-73,09/23/2019 18:05:30
31,a0:47:d7:22:0f:c0,SAHA INFOTECH,-91,09/23/2019 18:05:30
32,50:8f:4c:99:3d:4d,ashis,-91,09/23/2019 18:05:30
33,70:df:2f:b0:47:40,RailWire Wi-Fi,-77,09/23/2019 18:05:30
34,64:d1:54:2d:d3:35,Haldiya Steels,-82,09/23/2019 18:05:32
35,90:f0:52:76:03:6f,meizu C9,-87,09/23/2019 18:05:32
36,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-88,09/23/2019 18:05:32
37,58:d5:6e:6d:98:10,N Pal lottery,-65,09/23/2019 18:05:32
38,10:62:eb:28:db:f9,SBSTC BUS STAND,-80,09/23/2019 18:05:32
39,bc:2f:3d:cf:32:4b,Juneka,-82,09/23/2019 18:05:32
40,70:4f:57:6e:b7:3f,TP-Link_B73D_5G,-94,09/23/2019 18:05:32
41,70:4f:57:6e:b7:3d,TP-Link_B73D,-76,09/23/2019 18:05:32
42,64:db:43:33:57:a4,Lenovo VIBE K5,-77,09/23/2019 18:05:32
43,a0:47:d7:22:0f:c0,SAHA INFOTECH,-91,09/23/2019 18:05:32
44,50:8f:4c:99:3d:4d,ashis,-91,09/23/2019 18:05:32
45,70:df:2f:b0:47:40,RailWire Wi-Fi,-77,09/23/2019 18:05:32
46,64:d1:54:2d:d3:35,Haldiya Steels,-86,09/23/2019 18:05:33
47,90:f0:52:76:03:6f,meizu C9,-87,09/23/2019 18:05:33
48,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-86,09/23/2019 18:05:33
49,58:d5:6e:6d:98:10,N Pal lottery,-65,09/23/2019 18:05:33
50,10:62:eb:28:db:f9,SBSTC BUS STAND,-85,09/23/2019 18:05:33
51,70:4f:57:6e:b7:3d,TP-Link_B73D,-76,09/23/2019 18:05:33
52,64:db:43:33:57:a4,Lenovo VIBE K5,-84,09/23/2019 18:05:33
53,a0:47:d7:22:0f:c0,SAHA INFOTECH,-91,09/23/2019 18:05:33
54,50:8f:4c:99:3d:4d,ashis,-91,09/23/2019 18:05:33
55,70:df:2f:b0:47:40,RailWire Wi-Fi,-77,09/23/2019 18:05:33
56,64:d1:54:2d:d3:35,Haldiya Steels,-86,09/23/2019 18:05:34
57,90:f0:52:76:03:6f,meizu C9,-87,09/23/2019 18:05:34
58,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-86,09/23/2019 18:05:34
59,58:d5:6e:6d:98:10,N Pal lottery,-65,09/23/2019 18:05:34
60,10:62:eb:28:db:f9,SBSTC BUS STAND,-85,09/23/2019 18:05:34
61,70:4f:57:6e:b7:3d,TP-Link_B73D,-76,09/23/2019 18:05:34
62,64:db:43:33:57:a4,Lenovo VIBE K5,-84,09/23/2019 18:05:34
63,a0:47:d7:22:0f:c0,SAHA INFOTECH,-91,09/23/2019 18:05:34
64,50:8f:4c:99:3d:4d,ashis,-91,09/23/2019 18:05:34
65,70:df:2f:b0:47:40,RailWire Wi-Fi,-77,09/23/2019 18:05:34
66,64:d1:54:2d:d3:35,Haldiya Steels,-86,09/23/2019 18:05:35
67,90:f0:52:76:03:6f,meizu C9,-88,09/23/2019 18:05:35
68,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-86,09/23/2019 18:05:35
69,58:d5:6e:6d:98:10,N Pal lottery,-75,09/23/2019 18:05:35
70,10:62:eb:28:db:f9,SBSTC BUS STAND,-86,09/23/2019 18:05:35
71,70:4f:57:6e:b7:3d,TP-Link_B73D,-76,09/23/2019 18:05:35
72,64:db:43:33:57:a4,Lenovo VIBE K5,-85,09/23/2019 18:05:35
73,a0:47:d7:22:0f:c0,SAHA INFOTECH,-91,09/23/2019 18:05:35
